Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,8,create temporary directory for ssh public key,Broken Dependency Chain
Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,14,Task 2,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,17,Generate Private Key For using which Public Key will be generated,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,23,Generate Public Key,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,29,Create a VCN,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,36,Task 6,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,40,Create a new Internet Gateway,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,48,Task 8,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,51,Create route table to connect internet gateway to the VCN,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,59,Task 10,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,65,create ingress rules yaml body,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,67,create egress yaml body,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,70,load the variables defined in the ingress rules yaml body,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,74,print loaded_ingress,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,77,load the variables defined in the egress rules yaml body,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,81,print loaded_egress,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,84,Create a security list,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,92,Task 18,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,95,Create subnet,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/database/database_db_system,setup.yaml,107,Task 20,Assumption about Environment
