Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/file_storage/create_and_mount_file_system,sample.yaml,8,Task 1,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/file_storage/create_and_mount_file_system,sample.yaml,8,Task 1,Broken Dependency Chain
