Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,8,Task 1,Broken Dependency Chain
Repository Name,File Name,Line Number,Task Name,Smell Name
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,11,Enable OCA-MACS Plugin,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,23,Task 3,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,24,Obtain JMS Plugin Id,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,28,Task 5,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,42,Task 6,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,49,Get List of Management Agents,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,57,Task 8,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,60,Enable OCA-MACS JMS Service Plugin,Assumption about Environment
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,66,Create directory for usagetracker,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,76,Create properties file for usagetracker,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,79,Task 12,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,85,Create directory for usagetracker logs,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,99,Create file for usagetracker logs,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,107,Install logrotate,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,114,Task 16,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,118,Task 17,Broken Dependency Chain
/home/ghazal/Ansible-Reproducibility/test/testScripts/samples/jms/install_jms_plugin_to_oca,sample.yaml,125,Task 18,Broken Dependency Chain
